epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.9509,0.75485,2.35555,1.16695,0.70478,0.74846,0.80405,0.68099,0.5842,1.37536,1.00411,0.000332698,0.000332698,0.000332698
2,149.215,0.78377,1.53608,1.1898,0.7984,0.74449,0.82688,0.6724,0.64192,1.35187,1.01006,0.000639657,0.000639657,0.000639657
3,219.977,0.78677,1.40746,1.173,0.80659,0.74521,0.81822,0.66313,0.68242,1.17952,1.05419,0.000920215,0.000920215,0.000920215
4,291.222,0.76323,1.27889,1.15004,0.81051,0.7437,0.84826,0.70747,0.62865,1.05708,1.02481,0.0008812,0.0008812,0.0008812
5,360.942,0.7254,1.15442,1.1265,0.88908,0.82859,0.91338,0.77922,0.56882,0.80889,0.97101,0.0008416,0.0008416,0.0008416
6,430.987,0.68792,1.06184,1.09553,0.89394,0.84076,0.93051,0.80246,0.54659,0.73665,0.9564,0.000802,0.000802,0.000802
7,500.876,0.65888,0.98459,1.07972,0.85566,0.85447,0.91529,0.78113,0.55501,0.78585,0.96537,0.0007624,0.0007624,0.0007624
8,571.06,0.64943,0.93835,1.07509,0.93871,0.84257,0.9339,0.82201,0.5139,0.63535,0.93879,0.0007228,0.0007228,0.0007228
9,641.232,0.64742,0.89418,1.06832,0.9267,0.89032,0.94944,0.83139,0.51174,0.56713,0.93226,0.0006832,0.0006832,0.0006832
10,711.395,0.6155,0.84995,1.05958,0.93264,0.89859,0.95197,0.83544,0.49236,0.55317,0.92077,0.0006436,0.0006436,0.0006436
11,781.346,0.61524,0.81956,1.0587,0.93604,0.88569,0.95174,0.84812,0.46576,0.53572,0.90265,0.000604,0.000604,0.000604
12,849.877,0.57834,0.77962,1.02905,0.93794,0.89631,0.95462,0.85454,0.45877,0.52077,0.91036,0.0005644,0.0005644,0.0005644
13,919.462,0.58864,0.74485,1.0364,0.93301,0.90786,0.96388,0.85861,0.4569,0.49211,0.8988,0.0005248,0.0005248,0.0005248
14,989.767,0.55589,0.6862,1.02492,0.93659,0.91278,0.96454,0.86363,0.44669,0.48013,0.89829,0.0004852,0.0004852,0.0004852
15,1059.8,0.54158,0.68797,1.01505,0.94401,0.90837,0.96188,0.86862,0.42962,0.45675,0.89237,0.0004456,0.0004456,0.0004456
16,1154.95,0.42721,0.52112,0.92701,0.92772,0.87566,0.95073,0.85193,0.4538,0.51358,0.90229,0.000406,0.000406,0.000406
17,1235.77,0.39876,0.47412,0.90377,0.95127,0.90311,0.95949,0.86074,0.43005,0.46181,0.88922,0.0003664,0.0003664,0.0003664
18,1314.91,0.39463,0.42778,0.9071,0.94658,0.89199,0.9572,0.85941,0.4312,0.46257,0.89226,0.0003268,0.0003268,0.0003268
19,1388.16,0.37264,0.40082,0.89043,0.95072,0.92377,0.96471,0.87174,0.41303,0.42283,0.87929,0.0002872,0.0002872,0.0002872
20,1457.33,0.35622,0.38601,0.88489,0.94116,0.91503,0.96065,0.86841,0.39771,0.43058,0.87241,0.0002476,0.0002476,0.0002476
21,1528.2,0.34408,0.35618,0.88446,0.94975,0.93157,0.97108,0.88629,0.39189,0.3837,0.87286,0.000208,0.000208,0.000208
22,1598.28,0.33444,0.3387,0.87107,0.95551,0.92178,0.97348,0.88534,0.37898,0.36682,0.86752,0.0001684,0.0001684,0.0001684
23,1668.38,0.32724,0.32791,0.86842,0.9516,0.9304,0.96939,0.88583,0.38032,0.37866,0.86481,0.0001288,0.0001288,0.0001288
24,1737.46,0.31078,0.30762,0.86452,0.95643,0.93501,0.97007,0.89264,0.3691,0.36887,0.85989,8.92e-05,8.92e-05,8.92e-05
25,1806.88,0.30307,0.29572,0.86662,0.95486,0.92686,0.96924,0.8942,0.36025,0.36312,0.85705,4.96e-05,4.96e-05,4.96e-05
